ID,Answer
1,1
2,2
3,4
4,1
5,1
6,1
7,3
8,3
9,4
10,4
11,3
12,3
13,1
14,1
15,2
16,4
17,2
18,4
19,4
20,4
21,4
22,4
23,4
24,3
25,3
26,4
27,4
28,4
29,4
30,4
31,1
32,3
33,3
34,2
35,4
36,1
37,3
38,3
39,1
40,4
41,4
42,1
43,1
44,2
45,4
46,2
47,2
48,1
49,2
50,3
51,4
52,4
53,3
54,4
55,4
56,3
57,4
58,4
59,4
60,2
61,2
62,3
63,4
64,2
65,2
66,1
67,4
68,1
69,2
70,1
71,1
72,4
73,1
74,4
75,1
76,1
77,4
78,4
79,2
80,4
81,2
82,4
83,4
84,1
85,4
86,4
87,3
88,1
89,1
90,1
91,4
92,1
93,1
94,3
95,4
96,4
97,3
98,1
99,2
100,3
101,4
102,4
103,4
104,4
105,2
106,1
107,2
108,4
109,3
110,4
111,4
112,1
113,4
114,3
115,2
116,4
117,4
118,3
119,4
120,1
121,4
122,3
123,2
124,2
125,4
126,3
127,2
128,3
129,1
130,3
131,4
132,4
133,4
134,1
135,4
136,3
137,3
138,3
139,4
140,1
141,4
142,4
143,3
144,1
145,3
146,4
147,4
148,3
149,3
150,2
151,1
152,4
153,4
154,4
155,4
156,3
157,1
158,3
159,1
160,2
161,4
162,2
163,3
164,3
165,4
166,3
167,1
168,2
169,4
170,4
171,3
172,4
173,4
174,4
175,4
176,3
177,1
178,4
179,3
180,3
181,1
182,4
183,4
184,4
185,4
186,1
187,2
188,2
189,3
190,4
191,1
192,4
193,4
194,4
195,2
196,3
197,1
198,2
199,4
200,3
201,4
202,3
203,4
204,4
205,2
206,2
207,4
208,4
209,3
210,1
211,4
212,4
213,1
214,2
215,2
216,2
217,4
218,2
219,3
220,4
221,2
222,4
223,3
224,2
225,3
226,4
227,3
228,2
229,4
230,4
231,2
232,4
233,4
234,2
235,4
236,2
237,4
238,1
239,2
240,3
241,3
242,1
243,4
244,2
245,1
246,2
247,1
248,3
249,2
250,1
251,4
252,2
253,3
254,1
255,1
256,4
257,3
258,3
259,1
260,4
261,3
262,3
263,3
264,1
265,3
266,4
267,1
268,4
269,3
270,4
271,2
272,2
273,4
274,2
275,3
276,1
277,3
278,2
279,3
280,4
281,1
282,3
283,4
284,4
285,2
286,1
287,4
288,1
289,2
290,4
291,1
292,2
293,4
294,4
295,3
296,1
297,3
298,1
299,1
300,4
301,4
302,4
303,2
304,1
305,4
306,3
307,3
308,3
309,2
310,3
311,3
312,4
313,4
314,4
315,4
316,4
317,2
318,4
319,4
320,2
321,2
322,4
323,1
324,2
325,3
326,3
327,3
328,1
329,3
330,4
331,3
332,3
333,2
334,2
335,4
336,4
337,1
338,4
339,3
340,1
341,3
342,3
343,3
344,4
345,4
346,4
347,1
348,2
349,4
350,1
351,3
352,4
353,4
354,3
355,4
356,4
357,1
358,3
359,4
360,4
361,1
362,3
363,1
364,4
365,3
366,4
367,4
368,3
369,3
370,1
371,4
372,4
373,4
374,2
375,1
376,3
377,4
378,1
379,2
380,2
381,4
382,1
383,4
384,2
385,1
386,4
387,4
388,4
389,1
390,4
391,3
392,3
393,2
394,1
395,3
396,4
397,2
398,1
399,3
400,3
401,2
402,4
403,4
404,4
405,1
406,2
407,3
408,4
409,1
410,2
411,3
412,1
413,4
414,4
415,3
416,2
417,2
418,3
419,3
420,4
421,2
422,1
423,3
424,2
425,3
426,3
427,2
428,4
429,4
430,3
431,1
432,3
433,1
434,4
435,4
436,4
437,2
438,1
439,2
440,3
441,4
442,4
443,4
444,1
445,2
446,4
447,3
448,4
449,2
450,3
451,2
452,3
453,1
454,2
455,4
456,3
457,4
458,2
459,4
460,2
461,2
462,4
463,2
464,4
465,2
466,1
467,3
468,3
469,3
470,4
471,3
472,4
473,1
474,1
475,4
476,4
477,3
478,4
479,2
480,3
481,3
482,3
483,4
484,3
485,2
486,4
487,1
488,3
489,4
490,4
491,2
492,3
493,1
494,2
495,2
496,1
497,1
498,4
499,1
500,4
501,1
502,4
503,4
504,1
505,3
506,4
507,3
508,1
509,4
510,1
511,2
512,4
513,4
514,4
515,3
516,4
517,4
518,1
519,3
520,4
521,4
522,3
523,3
524,3
525,1
526,3
527,4
528,3
529,1
530,2
531,4
532,2
533,1
534,4
535,4
536,1
537,1
538,4
539,4
540,1
541,2
542,4
543,4
544,1
545,3
546,3
547,1
548,3
549,2
550,1
551,4
552,1
553,4
554,4
555,2
556,1
557,1
558,1
559,2
560,1
561,1
562,4
563,1
564,1
